leistung,rechtsnorm,zielgruppen,themenfelder,category,sub_category,zielgruppe1,zielgruppe2,themenfeld1,themenfeld2
"Rente für Bergleute, finanzielle Unterstützung für Bergleute, die aufgrund ihrer Arbeit im Bergbau eine verminderte Berufsfähigkeit haben oder das 50. Lebensjahr vollendet haben.",§ 242 Rente für Bergleute SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Mindestentgeltpunkte, Aufstockung der Entgeltpunkte bei sehr geringer Rente.",§ 262 Mindestentgeltpunkte bei geringem Arbeitsentgelt SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Familienleistungen, monatliche finanzielle Unterstützung, die das 2,5-Fache des für die Berechnung von Renten jeweils maßgebenden aktuellen Rentenwerts beträgt.",§ 295 Höhe der Leistung SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Regelaltersrente, Altersrente für schwerbehinderte Menschen, Berufsunfähigkeitsrente, Erwerbsunfähigkeitsrente.",§ 302 Anspruch auf Altersrente in Sonderfällen SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Invalidenrente, Unterstützung für Personen, die aufgrund von Erwerbsunfähigkeit, Berufsunfähigkeit oder voller bzw. teilweiser Erwerbsminderung nicht mehr in der Lage sind, ihren Lebensunterhalt selbst zu bestreiten.",§ 302a Renten wegen verminderter Erwerbsfähigkeit und Bergmannsvollrenten SGB VI,['Senior/-innen'],"['Gesundheit, Pflege & Teilhabe']",SGB VI,Rentenversicherung,Senior/-innen,,"Gesundheit, Pflege",Teilhabe
"Rente wegen Berufsunfähigkeit, finanzielle Unterstützung für Personen, die aufgrund von Berufsunfähigkeit, Erwerbsunfähigkeit oder Erwerbsminderung nicht mehr in der Lage sind, ihren Lebensunterhalt selbst zu bestreiten.",§ 302b Renten wegen verminderter Erwerbsfähigkeit SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Witwerrente, Witwerrente für Ehegatten, deren Partner vor dem 1. Januar 1986 gestorben ist oder die bis zum 31. Dezember 1988 eine wirksame Erklärung über die weitere Anwendung des bis zum 31. Dezember 1985 geltenden Hinterbliebenenrechts abgegeben haben.",§ 303 Witwerrente SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Witwenrente und Witwerrente, finanzielle Unterstützung für Witwen oder Witwer, die berufsunfähig oder erwerbsunfähig sind.",§ 303a Große Witwenrente und große Witwerrente wegen Berufsunfähigkeit oder Erwerbsunfähigkeit SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Waisenrente, Waisenrente für Personen über 25 Jahre, die aufgrund von körperlichen oder geistigen Gebrechen nicht in der Lage sind, sich selbst zu versorgen.",§ 304 Waisenrente SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Zuschlag an Entgeltpunkten, Zuschläge an Personen, die Kinder erzogen haben.",§ 307d Zuschlag an persönlichen Entgeltpunkten für Kindererziehung SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Zuschlag an Entgeltpunkten, im Fall von mindestens 33 Jahren mit Grundrentenzeiten und einem Durchschnittswert an Entgeltpunkten, der unter dem Höchstwert liegt.",§ 307e Zuschlag an Entgeltpunkten für langjährige Versicherung bei Rentenbeginn in den Jahren 1992 bis 2020 SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Zuschlag an Entgeltpunkten, falls der Rentenbeginn vor dem 1. Januar 1992 lag und bestimmte Durchschnittswerte an Entgeltpunkten nicht überschritten werden.",§ 307f Zuschlag an Entgeltpunkten für langjährige Versicherung bei Rentenbeginn vor dem 1. Januar 1992 SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Zuschlag an persönlichen Entgeltpunkten, für bestimmte Rentenarten, die zu bestimmten Zeiten begonnen haben.",§ 307i Zuschlag an persönlichen Entgeltpunkten bei Renten wegen Erwerbsminderung und bei Renten wegen Todes SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Rentenzuschlag, zusätzliche monatliche Rentenleistung, die unter bestimmten Bedingungen an Rentner ausgezahlt wird.",§ 307j Rentenzuschlag bei Renten wegen Erwerbsminderung und Renten wegen Todes für die Zeit von Juli 2024 bis November 2025 SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Rentenzuschlag, Auszahlung an Rentner, deren Rente nach Anwendung bestimmter Vorschriften niedriger ist als der nach dem Übergangsrecht ermittelte Betrag.",§ 319a Rentenzuschlag bei Rentenbeginn in den Jahren 1992 und 1993 SGB VI,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VI,Rentenversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Grundsicherung im Alter und bei Erwerbsminderung, Informationen und Beratung für Personen, die die Regelaltersgrenze erreicht haben oder voll erwerbsgemindert sind und bei denen es unwahrscheinlich ist, dass die volle Erwerbsminderung behoben werden kann.",§ 109a Hilfen in Angelegenheiten der Grundsicherung SGB VI,['Senior/-innen'],"['Alter & Rente / Versorgung', 'Sozialhilfe & besondere Lebenslagen']",SGB VI,Grundsicherung,Senior/-innen,,Alter,Rente / Versorgung
"Umfang der Heilbehandlungen, die erhalten werden können beim Eintritt eines Versicherungsfalles.","§ 27 Umfang der Heilbehandlung, Anschluss an die Telematikinfrastruktur SGB VII",['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB VII,Unfallversicherung,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Ärztliche und zahnärztliche Behandlung, zweckmäßigen und erforderlichen Behandlungen durch Ärzte oder Zahnärzte.",§ 28 Ärztliche und zahnärztliche Behandlung SGB VII,['Jedes Alter'],['Sozialhilfe & besondere Lebenslagen'],SGB VII,Unfallversicherung,Jedes Alter,,Sozialhilfe,besondere Lebenslagen
"Arznei- und Verbandmittel, Übernahme von Kosten für Arznei und Verbandmittel bis zum vorgeschriebenen Festbetrag.",§ 29 Arznei- und Verbandmittel SGB VII,['Jedes Alter'],['Sozialhilfe & besondere Lebenslagen'],SGB VII,Unfallversicherung,Jedes Alter,,Sozialhilfe,besondere Lebenslagen
"Häusliche Krankenpflege, Versicherte erhalten in ihrem Haushalt oder ihrer Familie neben der ärztlichen Behandlung häusliche Krankenpflege durch geeignete Pflegekräfte.",§ 32 Häusliche Krankenpflege SGB VII,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB VII,Unfallversicherung,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Stationäre Pflege, Behandlung in einem Krankenhaus oder in einer Rehabilitationseinrichtung wird erbracht, wenn die Aufnahme erforderlich ist.",§ 33 Behandlung in Krankenhäusern und Rehabilitationseinrichtungen SGB VII,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB VII,Unfallversicherung,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen zur Teilhabe, in Werkstätten für behinderte Menschen, bei anderen Leistungsanbietern und umfasst auch Hilfe zu einer angemessenen Schulausbildung.",§ 35 Leistungen zur Teilhabe am Arbeitsleben SGB VII,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe', 'Arbeit & Grundsicherung']",SGB VII,Unfallversicherung,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Kraftfahrzeughilfe und sonstige Leistungen, zur Erreichung und zur Sicherstellung des Erfolges der Leistungen zur medizinischen Rehabilitation und zur Teilhabe.",§ 39 Leistungen zur Sozialen Teilhabe und ergänzende Leistungen SGB VII,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB VII,Unfallversicherung,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Kraftfahrzeughilfe, Beschaffung eines Kraftfahrzeugs, für eine behinderungsbedingte Zusatzausstattung und zur Erlangung einer Fahrerlaubnis.",§ 40 Kraftfahrzeughilfe SGB VII,['Jedes Alter'],"['Sozialhilfe & besondere Lebenslagen', 'Arbeit & Grundsicherung']",SGB VII,Unfallversicherung,Jedes Alter,,Sozialhilfe,besondere Lebenslagen
"Wohnungshilfe, Hilfe bei behindertengerechter Anpassung von Wohnraum, Umzugskosten und Kosten für die Bereitstellung von Wohnraum für eine Pflegekraft.",§ 41 Wohnungshilfe SGB VII,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB VII,Unfallversicherung,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Reisekostenübernahme im Zusammenhang mit medizinischer Rehabilitation oder Teilhabe am Arbeitsleben, Übernahme von Fahr- und Transportkosten, Verpflegungs- und Übernachtungskosten, Kosten des Gepäcktransports, Wegstreckenentschädigung für die Versicherten und für eine wegen des Gesundheitsschadens erforderliche Begleitperson.",§ 43 Reisekosten SGB VII,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe', 'Arbeit & Grundsicherung']",SGB VII,Unfallversicherung,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Pflegegeld, Bereitstellung einer Pflegekraft/Heimpflege für Versicherte, die aufgrund von Gesundheitsschäden Hilfe im Alltag benötigen.",§ 44 Pflege SGB VII,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB VII,Unfallversicherung,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Verletztengeld, Entgeltersatzleistung für Versicherte, die aufgrund einer Verletzung arbeitsunfähig sind.",§ 45 SGB VII,"['Erwerbsalter', 'Jugendliche']",['Sozialhilfe & besondere Lebenslagen'],SGB VII,Unfallversicherung,Erwerbsalter,Jugendliche,Sozialhilfe,besondere Lebenslagen
"Verletztengeld, regelt den Erhalt von Verletztengeld bei Wiedererkrankung.",§ 48 Verletztengeld bei Wiedererkrankung SGB VII,"['Erwerbsalter', 'Jugendliche']",['Sozialhilfe & besondere Lebenslagen'],SGB VII,Unfallversicherung,Erwerbsalter,Jugendliche,Sozialhilfe,besondere Lebenslagen
"Arbeitsföderung, finanzielle Unterstützung für Versicherte, die infolge eines Versicherungsfalls Leistungen zur Teilhabe am Arbeitsleben erhalten.",§ 49 Übergangsgeld SGB VII,['Erwerbsalter'],"['Arbeit & Grundsicherung', 'Gesundheit, Pflege & Teilhabe']",SGB VII,Unfallversicherung,Erwerbsalter,,Arbeit,Grundsicherung
"Betriebshilfe und Haushaltshilfe, finanzielle oder materielle Hilfe für landwirtschaftliche Unternehmer während einer stationären Behandlung, wenn ihnen wegen dieser Behandlung die Weiterführung des Unternehmens oder des Haushalts nicht möglich ist.",§ 54 Betriebs- und Haushaltshilfe SGB VII,['Jedes Alter'],['Sozialhilfe & besondere Lebenslagen'],SGB VII,Unfallversicherung,Jedes Alter,,Sozialhilfe,besondere Lebenslagen
"Erhöhung der Rente, Aufstocken der Rente bei Arbeitslosigkeit nach einem Unfall.",§ 58 Erhöhung der Rente bei Arbeitslosigkeit SGB VII,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VII,Unfallversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Rente als vorläufige Entschädigung, nach Ablauf von drei Jahren nach dem Versicherungsfall wird die vorläufige Entschädigung als Rente auf unbestimmte Zeit geleistet.",§ 62 Rente als vorläufige Entschädigung SGB VII,['Jedes Alter'],['Alter & Rente / Versorgung'],SGB VII,Unfallversicherung,Jedes Alter,,Alter,Rente / Versorgung
"Unterstützung für Hinterbliebene, finanzielle Unterstützung für Hinterbliebene in Form von Sterbegeld, Erstattung der Kosten der Überführung an den Ort der Bestattung, Hinterbliebenenrenten und Beihilfe.",§ 63 Leistungen bei Tod SGB VII,['Jedes Alter'],"['Alter & Rente / Versorgung', 'Sozialhilfe & besondere Lebenslagen']",SGB VII,Unfallversicherung,Jedes Alter,,Alter,Rente / Versorgung
"Bestattungskosten, Sterbegeld und die Überführungskosten für die berechtigten Personen.",§ 64 Sterbegeld und Erstattung von Überführungskosten SGB VII,['Jedes Alter'],['Sozialhilfe & besondere Lebenslagen'],SGB VII,Unfallversicherung,Jedes Alter,,Sozialhilfe,besondere Lebenslagen
"Witwen- oder Witwerrente, finanzielle Unterstützung für Witwen oder Witwer von Versicherten.",§ 65 Witwen- und Witwerrente SGB VII; § 218a Leistungen an Hinterbliebene SGB VII,['Jedes Alter'],['Alter & Rente / Versorgung'],SGB VII,Unfallversicherung,Jedes Alter,,Alter,Rente / Versorgung
"Rente für frühere Ehegatten von Versicherten, wenn die Versicherten ihnen während des letzten Jahres vor ihrem Tod Unterhalt geleistet haben oder den früheren Ehegatten im letzten wirtschaftlichen Dauerzustand vor dem Tod der Versicherten ein Anspruch auf Unterhalt zustand.",§ 66 Witwen- und Witwerrente an frühere Ehegatten; mehrere Berechtigte SGB VII,"['Senior/-innen', 'Erwerbsalter']",['Alter & Rente / Versorgung'],SGB VII,Unfallversicherung,Senior/-innen,Erwerbsalter,Alter,Rente / Versorgung
"Einmalige Beihilfe, 40 Prozent des Jahresarbeitsverdienstes für Witwen oder Witwer von Versicherten.","§ 71 Witwen- , Witwer- und Waisenbeihilfe SGB VII",['Jedes Alter'],['Sozialhilfe & besondere Lebenslagen'],SGB VII,Unfallversicherung,Jedes Alter,,Sozialhilfe,besondere Lebenslagen
"Vorläufige Entschädigung und Rente, nach einem Unfall und nach Abschluss der Heilbehandlung.",§ 75 Abfindung mit einer Gesamtvergütung SGB VII,['Senior/-innen'],['Alter & Rente / Versorgung'],SGB VII,Unfallversicherung,Senior/-innen,,Alter,Rente / Versorgung
"Förderung der Erziehung in der Familie, Leistungen, die die Familie bei der Erziehung der Kinder unterstützen sollen (Familienbildung, Beratung in allgemeinen Fragen der Erziehung, Angebote der Familienfreizeit).",§ 16 Allgemeine Förderung der Erziehung in der Familie SGB VIII,['Jedes Alter'],['Familie & Kinder'],SGB VIII,Familienhilfe,Jedes Alter,,Familie,Kinder
"Beratung in Fragen der Partnerschaft für Mütter und Väter, Beratung in Fragen der Partnerschaft, Unterstützung bei der Bewältigung von Konflikten und Krisen in der Familie, Unterstützung bei der Entwicklung eines einvernehmlichen Konzepts für die Wahrnehmung der elterlichen Sorge und Verantwortung im Falle einer Trennung oder Scheidung.","§ 17 Beratung in Fragen der Partnerschaft, Trennung und Scheidung SGB VIII",['Jedes Alter'],['Familie & Kinder'],SGB VIII,Familienhilfe,Jedes Alter,,Familie,Kinder
"Beratung von alleine erziehenden Eltern, generelle Beratung von alleine erziehenden Eltern, liegt ein Partnerschaft ohne Ehe vor gibt es ebenfalls ein Recht auf Beratung.",§ 18 Beratung und Unterstützung bei der Ausübung der Personensorge und des Umgangsrechts SGB VIII,['Jedes Alter'],['Familie & Kinder'],SGB VIII,Familienhilfe,Jedes Alter,,Familie,Kinder
"Förderung der Erziehung in der Familie, Bereitstellen einer geeigneten Wohnung inklusive Betreuung, falls Vater oder Mutter alleine für ein Kind unter 6 Jahren Sorge tragen müssen und nicht im Stande sind.",§ 19 Gemeinsame Wohnformen für Mütter/Väter und Kinder SGB VIII,['Jedes Alter'],['Familie & Kinder'],SGB VIII,Familienhilfe,Jedes Alter,,Familie,Kinder
"Förderung der Erziehung in der Familie,  Eltern haben einen Anspruch auf Unterstützung bei der Betreuung und Versorgung des im Haushalt lebenden Kindes.",§ 20 Betreuung und Versorgung des Kindes in Notsituationen SGB VIII,['Jedes Alter'],['Familie & Kinder'],SGB VIII,Familienhilfe,Jedes Alter,,Familie,Kinder
"Kinder- und Jugendhilfe, Können Personensorgeberechtigte wegen des mit ihrer beruflichen Tätigkeit verbundenen ständigen Ortswechsels die Erfüllung der Schulpflicht ihres Kindes oder Jugendlichen nicht sicherstellen und ist deshalb eine anderweitige Unterbringung des Kindes oder des Jugendlichen notwendig, so haben sie Anspruch auf Beratung und Unterstützung.",§ 21 Unterstützung bei notwendiger Unterbringung zur Erfüllung der Schulpflicht SGB VIII,"['Kinder', 'Jugendliche']",['Familie & Kinder'],SGB VIII,Familienhilfe,Kinder,Jugendliche,Familie,Kinder
"Kinder- und Jugendhilfe, Förderung eines Kindes, das das erste Lebensjahr noch nicht vollendet hat in einer Kindertagespflege.",§ 24 Anspruch auf Förderung in Tageseinrichtungen und in Kindertagespflege SGB VIII,['Kinder'],['Familie & Kinder'],SGB VIII,Familienhilfe,Kinder,,Familie,Kinder
"Kinder- und Jugendhilfe,  Personensorgeberechtigter hat bei der Erziehung eines Kindes oder eines Jugendlichen Anspruch auf Hilfe (Hilfe zur Erziehung), wenn eine dem Wohl des Kindes oder des Jugendlichen entsprechende Erziehung nicht gewährleistet ist.",§ 27 Hilfe zur Erziehung SGB VIII,"['Kinder', 'Jugendliche']",['Familie & Kinder'],SGB VIII,Familienhilfe,Kinder,Jugendliche,Familie,Kinder
"Beratung in Fragen der Erziehung, Erziehungsberatungsstellen und andere Beratungsdienste und -einrichtungen sollen Kinder, Jugendliche, Eltern und andere Erziehungsberechtigte bei der Klärung und Bewältigung individueller und familienbezogener Probleme und der zugrunde liegenden Faktoren, bei der Lösung von Erziehungsfragen sowie bei Trennung und Scheidung unterstützen.",§ 28 Erziehungsberatung SGB VIII,['Jedes Alter'],['Familie & Kinder'],SGB VIII,Familienhilfe,Jedes Alter,,Familie,Kinder
"Kinder- und Jugendhilfe, Bereitstellung eines Betreuungshelfers.","§ 30 Erziehungsbeistand, Betreuungshelfer SGB VIII","['Kinder', 'Jugendliche']",['Familie & Kinder'],SGB VIII,Familienhilfe,Kinder,Jugendliche,Familie,Kinder
"Beratung in Fragen der Erziehung, Sozialpädagogische Familienhilfe soll durch intensive Betreuung und Begleitung Familien in ihren Erziehungsaufgaben, bei der Bewältigung von Alltagsproblemen, der Lösung von Konflikten und Krisen sowie im Kontakt mit Ämtern und Institutionen unterstützen und Hilfe zur Selbsthilfe geben.",§ 31 Sozialpädagogische Familienhilfe SGB VIII,['Jedes Alter'],['Familie & Kinder'],SGB VIII,Familienhilfe,Jedes Alter,,Familie,Kinder
"Kinder- und Jugendhilfe, Erziehung in einer Tagesgruppe soll die Entwicklung des Kindes oder des Jugendlichen durch soziales Lernen in der Gruppe, Begleitung der schulischen Förderung und Elternarbeit unterstützen und dadurch den Verbleib des Kindes oder des Jugendlichen in seiner Familie sichern.",§ 32 Erziehung in einer Tagesgruppe SGB VIII,"['Kinder', 'Jugendliche']",['Familie & Kinder'],SGB VIII,Familienhilfe,Kinder,Jugendliche,Familie,Kinder
"Kinder- und Jugendhilfe, Vollzeitpflege soll entsprechend dem Alter und Entwicklungsstand des Kindes oder des Jugendlichen und seinen persönlichen Bindungen sowie den Möglichkeiten der Verbesserung der Erziehungsbedingungen in der Herkunftsfamilie Kindern und Jugendlichen in einer anderen Familie eine zeitlich befristete Erziehungshilfe oder eine auf Dauer angelegte Lebensform bieten.",§ 33 Vollzeitpflege SGB VIII,"['Kinder', 'Jugendliche']","['Familie & Kinder', 'Gesundheit, Pflege & Teilhabe']",SGB VIII,Familienhilfe,Kinder,Jugendliche,Familie,Kinder
"Kinder- und Jugendhilfe, Hilfe zur Erziehung in einer Einrichtung über Tag und Nacht (Heimerziehung) oder in einer sonstigen betreuten Wohnform soll Kinder und Jugendliche durch eine Verbindung von Alltagserleben mit pädagogischen und therapeutischen Angeboten in ihrer Entwicklung fördern.","§ 34 Heimerziehung, sonstige betreute Wohnform SGB VIII","['Kinder', 'Jugendliche']",['Familie & Kinder'],SGB VIII,Familienhilfe,Kinder,Jugendliche,Familie,Kinder
"Kinder- und Jugendhilfe, intensive sozialpädagogische Einzelbetreuung soll Jugendlichen gewährt werden, die einer intensiven Unterstützung zur sozialen Integration und zu einer eigenverantwortlichen Lebensführung bedürfen.",§ 35 Intensive sozialpädagogische Einzelbetreuung SGB VIII,['Jugendliche'],['Familie & Kinder'],SGB VIII,Familienhilfe,Jugendliche,,Familie,Kinder
"Kinder- und Jugendhilfe, Kosten für den Sachaufwand sowie für die Pflege und Erziehung des Kindes oder Jugendlichen.",§ 39 Leistungen zum Unterhalt des Kindes oder des Jugendlichen SGB VIII,"['Jugendliche', 'Kinder']",['Familie & Kinder'],SGB VIII,Familienhilfe,Jugendliche,Kinder,Familie,Kinder
"Beratung und Unterstützung, Das Jugendamt hat unverzüglich nach der Geburt eines Kindes, dessen Eltern nicht miteinander verheiratet sind, der Mutter Beratung und Unterstützung insbesondere bei der Vaterschaftsfeststellung und der Geltendmachung von Unterhaltsansprüchen des Kindes anzubieten.",§ 52a Beratung und Unterstützung bei Vaterschaftsfeststellung und Geltendmachung von Unterhaltsansprüchen SGB VIII,['Jedes Alter'],['Familie & Kinder'],SGB VIII,Familienhilfe,Jedes Alter,,Familie,Kinder
"Beratung und Unterstützung, Vormünder haben Anspruch auf regelmäßige und dem jeweiligen erzieherischen Bedarf des Mündels entsprechende Beratung und Unterstützung durch das Jugendamt.",§ 53a Beratung und Unterstützung von Vormündern und Pflegern SGB VIII,['Jedes Alter'],['Familie & Kinder'],SGB VIII,Familienhilfe,Jedes Alter,,Familie,Kinder
"Kinder- und Jugendhilfe, Kinder oder Jugendliche haben Anspruch auf Eingliederungshilfe.",§ 35a Eingliederungshilfe für Kinder und Jugendliche mit seelischer Behinderung oder drohender seelischer Behinderung SGB VIII,"['Kinder', 'Jugendliche']",['Familie & Kinder'],SGB VIII,Eingliederungshilfe,Kinder,Jugendliche,Familie,Kinder
"Beratung in Fragen der Erziehung, Eltern haben einen Anspruch auf Beratung und Unterstützung sowie Förderung der Beziehung zu ihrem Kind.","§ 37 Beratung und Unterstützung der Eltern, Zusammenarbeit bei Hilfen außerhalb der eigenen Familie SGB VIII",['Jedes Alter'],['Familie & Kinder'],SGB VIII,Eingliederungshilfe,Jedes Alter,,Familie,Kinder
"Beratung in Fragen der Erziehung, Pflegepersonen haben vor der Aufnahme des Kindes oder des Jugendlichen und während der Dauer des Pflegeverhältnisses Anspruch auf Beratung und Unterstützung.",§ 37a Beratung und Unterstützung der Pflegeperson SGB VIII,['Jedes Alter'],['Familie & Kinder'],SGB VIII,Eingliederungshilfe,Jedes Alter,,Familie,Kinder
"Krankenhilfe, Übernahme von Zuzahlungen und Eigenbeteiligungen, Übernahme von Beiträgen für eine freiwillige Krankenversicherung, Bereitstellung von Krankenhilfe, die Übernahme von Zuzahlungen und Eigenbeteiligungen sowie die Möglichkeit, Beiträge für eine freiwillige Krankenversicherung zu übernehmen.",§ 40 Krankenhilfe SGB VIII,['Jedes Alter'],"['Familie & Kinder', 'Gesundheit, Pflege & Teilhabe']",SGB VIII,Gesundheits- und Krankenhilfe,Jedes Alter,,Familie,Kinder
"Hilfe für junge Volljährige, geeignete und notwendige Hilfe für junge Volljährige, deren Persönlichkeitsentwicklung eine selbstbestimmte, eigenverantwortliche und selbständige Lebensführung nicht gewährleistet.",§ 41 Hilfe für junge Volljährige SGB VIII,['Jugendliche'],['Familie & Kinder'],SGB VIII,Jugendhilfe,Jugendliche,,Familie,Kinder
"Beratung und Unterstützung bei der Verselbständigung, Beratung und Unterstützung junger Volljähriger nach Beendigung der Hilfe bei der Verselbständigung.",§ 41a Nachbetreuung SGB VIII,['Jugendliche'],['Familie & Kinder'],SGB VIII,Jugendhilfe,Jugendliche,,Familie,Kinder
"Leistungen zur medizinischen Rehabilitation, regelt sämtliche medizinischen Leistungen, die erbracht werden können.",§ 42 Leistungen zur medizinischen Rehabilitation SGB IX,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB IX,Leistungen zur medizinischen Rehabilitation,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Stufenweise Wiedereingliederung, medizinische und ergänzende Leistungen, die es arbeitsunfähigen Leistungsberechtigten nach ärztlicher Feststellung erlauben, ihre Tätigkeit schrittweise wieder aufzunehmen.",§ 44 Stufenweise Wiedereingliederung SGB IX,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB IX,Leistungen zur medizinischen Rehabilitation,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Förderung der Erziehung in der Familie, medizinischen Leistungen zur Früherkennung und Frühförderung für Kinder mit Behinderungen und von Behinderung bedrohter Kinder.",§ 46 Früherkennung und Frühförderung SGB IX,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB IX,Leistungen zur medizinischen Rehabilitation,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Hilfsmittel, Versorgung von behinderten Personen.",§ 47 Hilfsmittel SGB IX,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB IX,Leistungen zur medizinischen Rehabilitation,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen zur Teilhabe am Arbeitsleben, Erhalt, Verbesserung oder Wiederherstellung der Erwerbsfähigkeit von Menschen mit Behinderungen oder von Behinderung bedrohter Menschen entsprechend ihrer Leistungsfähigkeit.","§ 49 Leistungen zur Teilhabe am Arbeitsleben, Verordnungsermächtigung SGB IX",['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB IX,Leistungen zur Teilhabe,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen zur Teilhabe am Arbeitsleben, Zuschüsse an Arbeitsgeber.",§ 50 Leistungen an Arbeitgeber SGB IX,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB IX,Leistungen zur Teilhabe,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Leistungen zur Teilhabe am Arbeitsleben, Auszahlung des Arbeitsförderungsgeldes.",§ 59 Arbeitsförderungsgeld SGB IX,['Erwerbsalter'],['Arbeit & Grundsicherung'],SGB IX,Leistungen zur Teilhabe,Erwerbsalter,,Arbeit,Grundsicherung
"Medizinische Rehabilitation und Teilhabe am Arbeitsleben,  Absicherung durch mehrere finanzielle Mittel.",§ 64 Ergänzende Leistungen SGB IX,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe']",SGB IX,Unterhaltssichernde Leistungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Krankengeld, finanzielle Unterstützung im Falle von Krankheit, Verletzung oder Übergang zwischen Arbeitsstellen.",§ 65 Leistungen zum Lebensunterhalt SGB IX,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe', 'Arbeit & Grundsicherung']",SGB IX,Unterhaltssichernde Leistungen,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
"Unterstützende Leistungen zur Teilhabe an Bildung, Hilfen zur Schulbildung, zur schulischen Berufsausbildung, zur Hochschulbildung und zur schulischen und hochschulischen beruflichen Weiterbildung.",§ 75 Leistungen zur Teilhabe an Bildung SGB IX,['Jedes Alter'],"['Gesundheit, Pflege & Teilhabe', 'Bildung & Qualifizierung']",SGB IX,Leistungen zur Teilhabe an Bildung,Jedes Alter,,"Gesundheit, Pflege",Teilhabe
